"","{#status->#R}","{#status->#I}","{#status->#S}"
"183.60000000000002","7546.2925084816625","1.7562228695520532","2451.9512686487647"
"183.70000000000002","7546.310013699422","1.7448330302134492","2451.945153270344"
"183.8","7546.3274053884215","1.7335170376663407","2451.9390775738907"
"183.9","7546.344684284735","1.722274413392709","2451.933041301851"
"184.0","7546.361851119665","1.7111046819717448","2451.927044198342"
"184.10000000000002","7546.378906619775","1.7000073710598476","2451.9210860091434"
"184.20000000000002","7546.395851506923","1.6889820113707532","2451.9151664816854"
"184.3","7546.412686498285","1.6780281366557892","2451.9092853650377"
"184.4","7546.429412306395","1.6671452836842566","2451.9034424099004"
"184.5","7546.4460296391635","1.6563329922239391","2451.897637368592"
"184.60000000000002","7546.462539199919","1.6455908050217358","2451.8918699950386"
"184.70000000000002","7546.478941687429","1.6349182677844198","2451.8861400447654"
"184.8","7546.495237795935","1.6243149291595205","2451.880447274884"
"184.9","7546.511428215179","1.6137803407163278","2451.8747914440837"
"185.0","7546.527513630432","1.6033140569270197","2451.869172312621"
"185.10000000000002","7546.543494722524","1.5929156351479103","2451.863589642308"
"185.20000000000002","7546.559372167875","1.5825846356008193","2451.8580431965042"
