"","{#status->#S}"
"21.900000000000002","9956.387960545331"
"22.0","9955.722707104698"
"22.1","9955.047519851692"
"22.200000000000003","9954.362252299657"
"22.3","9953.666755857717"
"22.400000000000002","9952.960879802251"
"22.5","9952.244471248025"
"22.6","9951.51737511899"
"22.700000000000003","9950.779434118745"
"22.8","9950.030488700648"
"22.900000000000002","9949.270377037592"
"23.0","9948.498934991434"
"23.1","9947.715996082074"
"23.200000000000003","9946.921391456182"
"23.3","9946.114949855588"
"23.400000000000002","9945.296497585294"
"23.5","9944.465858481151"
"23.6","9943.622853877174"
"23.700000000000003","9942.76730257249"
"23.8","9941.899020797946"
"23.900000000000002","9941.017822182324"
"24.0","9940.12351771823"
"24.1","9939.215915727586"
"24.200000000000003","9938.294821826781"
"24.3","9937.36003889144"
"24.400000000000002","9936.411367020835"
"24.5","9935.448603501924"
"24.6","9934.471542773013"
"24.700000000000003","9933.47997638707"
"24.8","9932.473692974647"
"24.900000000000002","9931.45247820644"
"25.0","9930.41611475548"
"25.1","9929.364382258953"
"25.200000000000003","9928.297057279642"
"25.3","9927.213913267013"
"25.400000000000002","9926.114720517911"
"25.5","9924.999246136907"
"25.6","9923.86725399626"
"25.700000000000003","9922.718504695518"
"25.8","9921.552755520748"
"25.900000000000002","9920.369760403411"
"26.0","9919.16926987886"
"26.1","9917.951031044473"
"26.200000000000003","9916.714787517443"
"26.3","9915.460279392195"
"26.400000000000002","9914.187243197446"
"26.5","9912.895411852916"
"26.6","9911.584514625689"
"26.700000000000003","9910.254277086222"
"26.8","9908.90442106401"
"26.900000000000002","9907.534664602912"
"27.0","9906.14472191614"
"27.1","9904.734303340909"
"27.200000000000003","9903.303115292765"
"27.3","9901.850860219585"
"27.400000000000002","9900.377236555265"
"27.5","9898.881938673081"
"27.6","9897.364656838758"
"27.700000000000003","9895.825077163223"
"27.8","9894.26288155508"
"27.900000000000002","9892.677747672777"
"28.0","9891.069348876506"
"28.1","9889.437354179827"
"28.200000000000003","9887.78142820102"
"28.3","9886.10123111419"
"28.400000000000002","9884.396418600116"
"28.5","9882.666641796864"
"28.6","9880.911547250178"
"28.700000000000003","9879.130776863634"
"28.8","9877.32396784861"
"28.900000000000002","9875.490752674035"
"29.0","9873.630759015978"
"29.1","9871.743609707042"
"29.200000000000003","9869.828922685612"
"29.3","9867.886310944952"
"29.400000000000002","9865.915382482171"
"29.5","9863.91574024707"
"29.6","9861.886982090882"
"29.700000000000003","9859.82870071494"
"29.8","9857.740483619249"
"29.900000000000002","9855.621913051036"
"30.0","9853.472565953236"
"30.1","9851.292013912976"
"30.200000000000003","9849.079823110062"
"30.3","9846.835554265472"
"30.400000000000002","9844.558762589913"
"30.5","9842.248997732428"
"30.6","9839.905803729085"
"30.700000000000003","9837.528718951788"
"30.8","9835.117276057208"
"30.900000000000002","9832.67100193588"
"31.0","9830.189417661473"
"31.1","9827.672038440278"
"31.200000000000003","9825.11837356092"
"31.3","9822.527926344346"
"31.400000000000002","9819.900194094102"
"31.5","9817.234668046918"
"31.6","9814.53083332367"
"31.700000000000003","9811.788168880708"
"31.8","9809.006147461614"
"31.900000000000002","9806.184235549403"
"32.0","9803.321893319217"
"32.1","9800.418574591537"
"32.2","9797.473726785956"
"32.300000000000004","9794.48679087556"
"32.4","9791.457201341924"
"32.5","9788.384386130803"
"32.6","9785.267766608544"
"32.7","9782.106757519245"
"32.800000000000004","9778.900766942734"
"32.9","9775.64919625339"
"33.0","9772.351440079869"
"33.1","9769.006886265768"
"33.2","9765.61491583129"
"33.300000000000004","9762.174902935943"
"33.4","9758.686214842355"
"33.5","9755.14821188121"
"33.6","9751.56024741741"
"33.7","9747.921667817493"
"33.800000000000004","9744.231812418348"
"33.9","9740.490013497332"
"34.0","9736.695596243799"
"34.1","9732.847878732135"
"34.2","9728.946171896347"
"34.300000000000004","9724.989779506277"
"34.4","9720.977998145501"
"34.5","9716.910117190988"
"34.6","9712.785418794569"
"34.7","9708.60317786632"
